Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Fork,Exec,Exit,Watts
10:06:20,2.4,2.4,1.9,92.5,0.9,1,576,538,8,9,9,5.76
10:06:30,0.6,0,0.4,97.7,1.3,1,247,172,2,0,6,5.37
10:06:40,0.4,0,0.3,99.3,0,1,169,124,1,0,1,5.01
10:06:50,3.2,0,1.1,95.2,0.4,2,777,606,0,0,1,4.95
10:07:00,7.5,0,2.5,87.8,2.2,3,1437,1099,10,3,5,5.2
10:07:10,31.3,0.3,5.2,41.6,21.5,2,2934,2858,200,4,85,6.75
10:07:20,32.7,0,6.1,39.2,22,3,4448,2868,55,0,32,7.73
10:07:30,20.4,0.1,3,75.2,1.3,1,2278,1918,4,0,5,7.35
10:07:40,19.3,0.2,4.7,72.2,3.6,2,3738,1532,3,0,4,6.84
10:07:50,21.3,0,4.8,72.8,1.1,2,3446,1602,0,0,5,6.65
10:08:00,23.3,0,5.3,70.4,1,1,4044,1877,1,0,1,6.61
10:08:10,36.7,0,7.8,53.2,2.3,2,5316,2573,1,0,1,7.18
10:08:20,11.4,0,1.6,86.9,0.1,3,1390,1134,0,0,1,6.47
10:08:30,15.1,0,3.8,80.2,0.9,1,2840,1513,20,8,17,6.35
10:08:40,1.7,0,0.6,97.3,0.5,1,438,223,0,0,6,5.75
10:08:50,2.9,0,0.9,95.9,0.3,1,617,283,5,1,9,5.28
10:09:00,0.9,0,0.3,98.6,0.1,2,294,171,0,0,0,5.09
10:09:10,2.1,0,0.7,96.8,0.4,2,508,238,3,1,3,4.94
10:09:20,1.9,0,0.7,97.2,0.2,1,521,242,0,0,3,4.89
10:09:30,2.9,0,1.1,95.7,0.2,1,645,292,12,0,12,4.93
10:09:40,7.8,0,1.8,88.7,1.7,1,1078,698,20,3,8,5.31
10:09:50,16.3,0,3.8,77.2,2.6,2,2602,1455,12,1,7,5.82
10:10:00,12.7,0,2.9,83.7,0.7,1,1716,1076,8,1,13,5.96
10:10:10,14.3,0,3.6,81.3,0.9,1,2085,1366,12,1,15,6.12
10:10:20,17.1,0,4.1,78.2,0.6,1,2555,1562,8,1,8,6.22
10:10:30,10.7,0,3.2,85.5,0.6,3,2286,1189,2,0,5,6.21
10:10:40,35.4,0,6,57.7,1,2,4407,2366,7,0,2,6.71
10:10:50,8.7,0,1.8,89.3,0.3,1,1077,1041,0,0,0,6.21
10:11:00,22,0,3.4,74.6,0,1,2724,1514,0,0,0,6.26
10:11:10,26.8,0,3.3,69.9,0,3,2943,1672,0,0,4,6.56
10:11:20,11.6,0,2.8,84.8,0.8,2,2253,1112,17,5,20,6.31
10:11:30,15.8,0,3,81,0.2,5,2246,1133,0,0,2,6.08
10:11:40,36.1,0,6.9,55.9,1.1,6,5609,2540,8,0,1,6.66
10:11:50,19.5,0,3.4,76,1.1,6,2682,1145,0,0,0,6.53
10:12:00,30.9,0,6.4,61.9,0.8,3,5540,2534,0,0,1,6.72
10:12:10,18.1,0,4,77,0.9,1,3292,1379,0,0,1,6.47
10:12:20,27.7,0,6.8,64.6,0.9,2,5128,2312,0,0,1,6.68
10:12:30,36.2,0,7.9,54.9,0.9,3,6295,2702,3,0,0,6.84
10:12:40,29.3,0,6.2,63.6,0.9,1,4486,2307,2,0,1,7.18
10:12:50,17,0,3,79.4,0.5,3,2758,1532,0,0,0,6.83
10:13:00,32.1,0,6.5,60.8,0.6,3,4717,2417,33,1,5,6.71
10:13:10,22.4,0.8,5.5,70.5,0.7,1,4413,2030,14,0,11,6.85
10:13:20,18.3,2.4,5,73.9,0.4,2,3979,3335,1,0,1,6.65
10:13:30,6.5,0,3.2,89.7,0.5,2,1888,1195,0,0,2,6.08
10:13:40,9.2,0,3.7,86.7,0.4,1,2333,1443,0,0,1,5.94
10:13:50,10.6,0.1,3.8,85.2,0.4,6,2511,1449,1,0,7,5.85
10:14:00,23.5,2.9,5.4,67.6,0.6,1,3763,3227,0,0,2,6.3
